Section	Difficulty	Title	Slug	Source	Link
Welcome		Course Roadmap	course-roadmap	algomaster	https://algomaster.io/learn/dsa/course-roadmap
Welcome		Join the Community	join-community	algomaster	https://algomaster.io/learn/dsa/join-community
Coding Interview Strategy		How Coding Interviews Work	how-coding-interviews-work	algomaster	https://algomaster.io/learn/dsa/how-coding-interviews-work
Coding Interview Strategy		How to Communicate During Interviews	how-to-communicate-during-interviews	algomaster	https://algomaster.io/learn/dsa/how-to-communicate-during-interviews
Coding Interview Strategy		Time Management in Coding Interviews	time-management-in-coding-interviews	algomaster	https://algomaster.io/learn/dsa/time-management-in-coding-interviews
Coding Interview Strategy		How to Identify Which Pattern to Use	how-to-identify-which-pattern-to-use	algomaster	https://algomaster.io/learn/dsa/how-to-identify-which-pattern-to-use
Coding Interview Strategy		How to Handle Unseen Problems	how-to-handle-unseen-problems	algomaster	https://algomaster.io/learn/dsa/how-to-handle-unseen-problems
Big O Notation		Introduction	big-o-introduction	algomaster	https://algomaster.io/learn/dsa/big-o-introduction
Big O Notation		Best, Worst, and Average Complexity	best-worst-average-complexity	algomaster	https://algomaster.io/learn/dsa/best-worst-average-complexity
Big O Notation		Amortized Analysis	amortized-analysis	algomaster	https://algomaster.io/learn/dsa/amortized-analysis
Big O Notation		Recurrence Relations	recurrence-relations	algomaster	https://algomaster.io/learn/dsa/recurrence-relations
Big O Notation		Master Theorem	master-theorem	algomaster	https://algomaster.io/learn/dsa/master-theorem
Programming Fundamentals		Java for DSA	java-crash-course	algomaster	https://algomaster.io/learn/dsa/java-crash-course
Programming Fundamentals		Python for DSA	python-crash-course	algomaster	https://algomaster.io/learn/dsa/python-crash-course
Programming Fundamentals		C++ for DSA	cpp-crash-course	algomaster	https://algomaster.io/learn/dsa/cpp-crash-course
Programming Fundamentals		C# for DSA	csharp-crash-course	algomaster	https://algomaster.io/learn/dsa/csharp-crash-course
Programming Fundamentals		Go for DSA	go-crash-course	algomaster	https://algomaster.io/learn/dsa/go-crash-course
Programming Fundamentals		JavaScript for DSA	javascript-crash-course	algomaster	https://algomaster.io/learn/dsa/javascript-crash-course
Programming Fundamentals		TypeScript for DSA	typescript-crash-course	algomaster	https://algomaster.io/learn/dsa/typescript-crash-course
Sorting Algorithms		Bubble Sort	bubble-sort	algomaster	https://algomaster.io/learn/dsa/bubble-sort
Sorting Algorithms		Selection Sort	selection-sort	algomaster	https://algomaster.io/learn/dsa/selection-sort
Sorting Algorithms		Insertion Sort	insertion-sort	algomaster	https://algomaster.io/learn/dsa/insertion-sort
Sorting Algorithms		Shell Sort	shell-sort	algomaster	https://algomaster.io/learn/dsa/shell-sort
Sorting Algorithms		Merge Sort	merge-sort	algomaster	https://algomaster.io/learn/dsa/merge-sort
Sorting Algorithms		Quick Sort	quick-sort	algomaster	https://algomaster.io/learn/dsa/quick-sort
Sorting Algorithms		Heap Sort	heap-sort	algomaster	https://algomaster.io/learn/dsa/heap-sort
Sorting Algorithms		Counting Sort	counting-sort	algomaster	https://algomaster.io/learn/dsa/counting-sort
Sorting Algorithms		Bucket Sort	bucket-sort	algomaster	https://algomaster.io/learn/dsa/bucket-sort
Sorting Algorithms		Radix Sort	radix-sort	algomaster	https://algomaster.io/learn/dsa/radix-sort
Sorting Algorithms		Cyclic Sort	cyclic-sort	algomaster	https://algomaster.io/learn/dsa/cyclic-sort
Sorting Algorithms		Tim Sort	tim-sort	algomaster	https://algomaster.io/learn/dsa/tim-sort
Sorting Algorithms		External Sort	external-sort	algomaster	https://algomaster.io/learn/dsa/external-sort
Arrays		Introduction	arrays-introduction	algomaster	https://algomaster.io/learn/dsa/arrays-introduction
Arrays	Easy	Move Zeroes	move-zeroes	algomaster	https://algomaster.io/learn/dsa/move-zeroes
Arrays	Easy	Remove Element	remove-element	algomaster	https://algomaster.io/learn/dsa/remove-element
Arrays	Easy	Shuffle the Array	shuffle-the-array	algomaster	https://algomaster.io/learn/dsa/shuffle-the-array
Arrays	Easy	Remove Duplicates from Sorted Array	remove-duplicates-from-sorted-array	algomaster	https://algomaster.io/learn/dsa/remove-duplicates-from-sorted-array
Arrays	Medium	Remove Duplicates from Sorted Array II	remove-duplicates-from-sorted-array-ii	algomaster	https://algomaster.io/learn/dsa/remove-duplicates-from-sorted-array-ii
Arrays	Medium	Rotate Array	rotate-array	algomaster	https://algomaster.io/learn/dsa/rotate-array
Arrays	Easy	Max Consecutive Ones	max-consecutive-ones	algomaster	https://algomaster.io/learn/dsa/max-consecutive-ones
Arrays	Easy	Third Maximum Number	third-maximum-number	algomaster	https://algomaster.io/learn/dsa/third-maximum-number
Arrays	Easy	Missing Ranges	missing-ranges	algomaster	https://algomaster.io/learn/dsa/missing-ranges
Arrays	Easy	Majority Element	majority-element	algomaster	https://algomaster.io/learn/dsa/majority-element
Arrays	Medium	Majority Element II	majority-element-ii	algomaster	https://algomaster.io/learn/dsa/majority-element-ii
Arrays	Easy	Best Time to Buy and Sell Stock	best-time-to-buy-and-sell-stock	algomaster	https://algomaster.io/learn/dsa/best-time-to-buy-and-sell-stock
Arrays	Medium	Best Time to Buy and Sell Stock II	best-time-to-buy-and-sell-stock-ii	algomaster	https://algomaster.io/learn/dsa/best-time-to-buy-and-sell-stock-ii
Arrays	Medium	Number of Zero-Filled Subarrays	number-of-zero-filled-subarrays	algomaster	https://algomaster.io/learn/dsa/number-of-zero-filled-subarrays
Arrays	Medium	Increasing Triplet Subsequence	increasing-triplet-subsequence	algomaster	https://algomaster.io/learn/dsa/increasing-triplet-subsequence
Arrays	Medium	Product of Array Except Self	product-of-array-except-self	algomaster	https://algomaster.io/learn/dsa/product-of-array-except-self
Arrays	Medium	Next Permutation	next-permutation	algomaster	https://algomaster.io/learn/dsa/next-permutation
Arrays	Hard	First Missing Positive	first-missing-positive	algomaster	https://algomaster.io/learn/dsa/first-missing-positive
Strings	Easy	Reverse String	reverse-string	algomaster	https://algomaster.io/learn/dsa/reverse-string
