Difficulty	Title	Slug	Source	Link
	Introduction	greedy-introduction	algomaster	https://algomaster.io/learn/dsa/greedy-introduction
Easy	Assign Cookies	assign-cookies	algomaster	https://algomaster.io/learn/dsa/assign-cookies
Easy	Apple Redistribution into Boxes	apple-redistribution-into-boxes	algomaster	https://algomaster.io/learn/dsa/apple-redistribution-into-boxes
Medium	Jump Game II	jump-game-ii	algomaster	https://algomaster.io/learn/dsa/jump-game-ii
Medium	Jump Game	jump-game	algomaster	https://algomaster.io/learn/dsa/jump-game
Medium	Jump Game VII	jump-game-vii	algomaster	https://algomaster.io/learn/dsa/jump-game-vii
Medium	Minimum Add to Make Parentheses Valid	minimum-add-to-make-parentheses-valid	algomaster	https://algomaster.io/learn/dsa/minimum-add-to-make-parentheses-valid
Medium	Maximum Score From Removing Substrings	maximum-score-from-removing-substrings	algomaster	https://algomaster.io/learn/dsa/maximum-score-from-removing-substrings
Medium	Gas Station	gas-station	algomaster	https://algomaster.io/learn/dsa/gas-station
Medium	Task Scheduler	task-scheduler	algomaster	https://algomaster.io/learn/dsa/task-scheduler
Medium	Queue Reconstruction by Height	queue-reconstruction-by-height	algomaster	https://algomaster.io/learn/dsa/queue-reconstruction-by-height
Medium	Avoid Flood in The City	avoid-flood-in-the-city	algomaster	https://algomaster.io/learn/dsa/avoid-flood-in-the-city
Medium	Most Profit Assigning Work	most-profit-assigning-work	algomaster	https://algomaster.io/learn/dsa/most-profit-assigning-work
Medium	Maximum Swap	maximum-swap	algomaster	https://algomaster.io/learn/dsa/maximum-swap
Medium	Maximum Matrix Sum	maximum-matrix-sum	algomaster	https://algomaster.io/learn/dsa/maximum-matrix-sum
Hard	Candy	candy	algomaster	https://algomaster.io/learn/dsa/candy
Hard	Minimum Number of Refueling Stops	minimum-number-of-refueling-stops	algomaster	https://algomaster.io/learn/dsa/minimum-number-of-refueling-stops
Hard	Minimum Cost to Hire K Workers	minimum-cost-to-hire-k-workers	algomaster	https://algomaster.io/learn/dsa/minimum-cost-to-hire-k-workers
Hard	Set Intersection Size At Least Two	set-intersection-size-at-least-two	algomaster	https://algomaster.io/learn/dsa/set-intersection-size-at-least-two
