Difficulty	Title	Slug	Source	Link
	Introduction to Hash Tables	hash-tables-introduction	algomaster	https://algomaster.io/learn/dsa/hash-tables-introduction
	Frequency Counting	frequency-counting-introduction	algomaster	https://algomaster.io/learn/dsa/frequency-counting-introduction
Easy	Design HashMap	design-hashmap	algomaster	https://algomaster.io/learn/dsa/design-hashmap
Easy	Maximum Number of Balloons	maximum-number-of-balloons	algomaster	https://algomaster.io/learn/dsa/maximum-number-of-balloons
Easy	Number of Good Pairs	number-of-good-pairs	algomaster	https://algomaster.io/learn/dsa/number-of-good-pairs
Easy	Ransom Note	ransom-note	algomaster	https://algomaster.io/learn/dsa/ransom-note
Easy	First Unique Character in a String	first-unique-character-in-a-string	algomaster	https://algomaster.io/learn/dsa/first-unique-character-in-a-string
Easy	Find All Numbers Disappeared in an Array	find-all-numbers-disappeared-in-an-array	algomaster	https://algomaster.io/learn/dsa/find-all-numbers-disappeared-in-an-array
Easy	Contains Duplicate	contains-duplicate	algomaster	https://algomaster.io/learn/dsa/contains-duplicate
Easy	Contains Duplicate II	contains-duplicate-ii	algomaster	https://algomaster.io/learn/dsa/contains-duplicate-ii
Easy	Intersection of Two Arrays II	intersection-of-two-arrays-ii	algomaster	https://algomaster.io/learn/dsa/intersection-of-two-arrays-ii
Easy	Isomorphic Strings	isomorphic-strings	algomaster	https://algomaster.io/learn/dsa/isomorphic-strings
Easy	Word Pattern	word-pattern	algomaster	https://algomaster.io/learn/dsa/word-pattern
Medium	Group Anagrams	group-anagrams	algomaster	https://algomaster.io/learn/dsa/group-anagrams
Medium	Group Shifted Strings	group-shifted-strings	algomaster	https://algomaster.io/learn/dsa/group-shifted-strings
Medium	Encode and Decode TinyURL	encode-and-decode-tinyurl	algomaster	https://algomaster.io/learn/dsa/encode-and-decode-tinyurl
Medium	Reorganize String	reorganize-string	algomaster	https://algomaster.io/learn/dsa/reorganize-string
Medium	Longest Consecutive Sequence	longest-consecutive-sequence	algomaster	https://algomaster.io/learn/dsa/longest-consecutive-sequence
Medium	Number of Matching Subsequences	number-of-matching-subsequences	algomaster	https://algomaster.io/learn/dsa/number-of-matching-subsequences
Medium	Number of Good Ways to Split a String	number-of-good-ways-to-split-a-string	algomaster	https://algomaster.io/learn/dsa/number-of-good-ways-to-split-a-string
Medium	Split Array into Consecutive Subsequences	split-array-into-consecutive-subsequences	algomaster	https://algomaster.io/learn/dsa/split-array-into-consecutive-subsequences
Medium	Minimum Deletions to Make Character Frequencies Unique	minimum-deletions-to-make-character-frequencies-unique	algomaster	https://algomaster.io/learn/dsa/minimum-deletions-to-make-character-frequencies-unique
