Difficulty	Title	Slug	Source	Link
	Introduction	heaps-introduction	algomaster	https://algomaster.io/learn/dsa/heaps-introduction
Easy	Last Stone Weight	last-stone-weight	algomaster	https://algomaster.io/learn/dsa/last-stone-weight
Medium	Furthest Building You Can Reach	furthest-building-you-can-reach	algomaster	https://algomaster.io/learn/dsa/furthest-building-you-can-reach
Medium	Single-Threaded CPU	single-threaded-cpu	algomaster	https://algomaster.io/learn/dsa/single-threaded-cpu
Medium	Process Tasks Using Servers	process-tasks-using-servers	algomaster	https://algomaster.io/learn/dsa/process-tasks-using-servers
Medium	Minimum Cost to Connect Sticks	minimum-cost-to-connect-sticks	algomaster	https://algomaster.io/learn/dsa/minimum-cost-to-connect-sticks
Medium	Longest Happy String	longest-happy-string	algomaster	https://algomaster.io/learn/dsa/longest-happy-string
Hard	Maximum Performance of a Team	maximum-performance-of-a-team	algomaster	https://algomaster.io/learn/dsa/maximum-performance-of-a-team
Hard	Find Median from Data Stream	find-median-from-data-stream	algomaster	https://algomaster.io/learn/dsa/find-median-from-data-stream
Hard	IPO	ipo	algomaster	https://algomaster.io/learn/dsa/ipo
Hard	Sliding Window Median	sliding-window-median	algomaster	https://algomaster.io/learn/dsa/sliding-window-median
Medium	Find K Pairs with Smallest Sums	find-k-pairs-with-smallest-sums	algomaster	https://algomaster.io/learn/dsa/find-k-pairs-with-smallest-sums
Medium	Kth Smallest Element in a Sorted Matrix	kth-smallest-element-in-a-sorted-matrix	algomaster	https://algomaster.io/learn/dsa/kth-smallest-element-in-a-sorted-matrix
Hard	Merge k Sorted Lists	merge-k-sorted-lists	algomaster	https://algomaster.io/learn/dsa/merge-k-sorted-lists
Hard	Smallest Range Covering Elements from K Lists	smallest-range-covering-elements-from-k-lists	algomaster	https://algomaster.io/learn/dsa/smallest-range-covering-elements-from-k-lists
	Introduction	top-k-elements-introduction	algomaster	https://algomaster.io/learn/dsa/top-k-elements-introduction
Easy	Kth Largest Element in a Stream	kth-largest-element-in-a-stream	algomaster	https://algomaster.io/learn/dsa/kth-largest-element-in-a-stream
Medium	Top K Frequent Elements	top-k-frequent-elements	algomaster	https://algomaster.io/learn/dsa/top-k-frequent-elements
Medium	K Closest Points to Origin	k-closest-points-to-origin	algomaster	https://algomaster.io/learn/dsa/k-closest-points-to-origin
