Difficulty	Title	Slug	Source	Link
Easy	Palindrome Number	palindrome-number	algomaster	https://algomaster.io/learn/dsa/palindrome-number
Easy	Plus One	plus-one	algomaster	https://algomaster.io/learn/dsa/plus-one
Easy	Roman to Integer	roman-to-integer	algomaster	https://algomaster.io/learn/dsa/roman-to-integer
Easy	Excel Sheet Column Title	excel-sheet-column-title	algomaster	https://algomaster.io/learn/dsa/excel-sheet-column-title
Easy	Greatest Common Divisor of Strings	greatest-common-divisor-of-strings	algomaster	https://algomaster.io/learn/dsa/greatest-common-divisor-of-strings
Easy	Ugly Number	ugly-number	algomaster	https://algomaster.io/learn/dsa/ugly-number
Medium	Ugly Number II	ugly-number-ii	algomaster	https://algomaster.io/learn/dsa/ugly-number-ii
Medium	Count Primes	count-primes	algomaster	https://algomaster.io/learn/dsa/count-primes
Medium	Count Good Numbers	count-good-numbers	algomaster	https://algomaster.io/learn/dsa/count-good-numbers
Medium	Reverse Integer	reverse-integer	algomaster	https://algomaster.io/learn/dsa/reverse-integer
Medium	Factorial Trailing Zeroes	factorial-trailing-zeroes	algomaster	https://algomaster.io/learn/dsa/factorial-trailing-zeroes
Medium	Multiply Strings	multiply-strings	algomaster	https://algomaster.io/learn/dsa/multiply-strings
Medium	Find the Duplicate Number	find-the-duplicate-number	algomaster	https://algomaster.io/learn/dsa/find-the-duplicate-number
Medium	Valid Square	valid-square	algomaster	https://algomaster.io/learn/dsa/valid-square
Medium	Minimum Area Rectangle II	minimum-area-rectangle-ii	algomaster	https://algomaster.io/learn/dsa/minimum-area-rectangle-ii
Medium	Valid Triangle Number	valid-triangle-number	algomaster	https://algomaster.io/learn/dsa/valid-triangle-number
Medium	Minimum Area Rectangle	minimum-area-rectangle	algomaster	https://algomaster.io/learn/dsa/minimum-area-rectangle
Hard	Max Points on a Line	max-points-on-a-line	algomaster	https://algomaster.io/learn/dsa/max-points-on-a-line
