Difficulty	Title	Slug	Source	Link
	Introduction	prefix-sum-introduction	algomaster	https://algomaster.io/learn/dsa/prefix-sum-introduction
Easy	Range Sum Query - Immutable	range-sum-query-immutable	algomaster	https://algomaster.io/learn/dsa/range-sum-query-immutable
Easy	Running Sum of 1d Array	running-sum-of-1d-array	algomaster	https://algomaster.io/learn/dsa/running-sum-of-1d-array
Easy	Find Pivot Index	find-pivot-index	algomaster	https://algomaster.io/learn/dsa/find-pivot-index
Easy	Maximum Population Year	maximum-population-year	algomaster	https://algomaster.io/learn/dsa/maximum-population-year
Medium	Subarray Sum Equals K	subarray-sum-equals-k	algomaster	https://algomaster.io/learn/dsa/subarray-sum-equals-k
Medium	Subarray Sums Divisible by K	subarray-sums-divisible-by-k	algomaster	https://algomaster.io/learn/dsa/subarray-sums-divisible-by-k
Medium	Continuous Subarray Sum	continuous-subarray-sum	algomaster	https://algomaster.io/learn/dsa/continuous-subarray-sum
Medium	Contiguous Array	contiguous-array	algomaster	https://algomaster.io/learn/dsa/contiguous-array
Medium	Range Addition	range-addition	algomaster	https://algomaster.io/learn/dsa/range-addition
Medium	Range Sum Query 2D - Immutable	range-sum-query-2d-immutable	algomaster	https://algomaster.io/learn/dsa/range-sum-query-2d-immutable
Medium	Increment Submatrices by One	increment-submatrices-by-one	algomaster	https://algomaster.io/learn/dsa/increment-submatrices-by-one
Medium	Matrix Block Sum	matrix-block-sum	algomaster	https://algomaster.io/learn/dsa/matrix-block-sum
