Difficulty	Title	Slug	Source	Link
	Introduction	queue-introduction	algomaster	https://algomaster.io/learn/dsa/queue-introduction
Easy	Number of Recent Calls	number-of-recent-calls	algomaster	https://algomaster.io/learn/dsa/number-of-recent-calls
Easy	Time Needed to Buy Tickets	time-needed-to-buy-tickets	algomaster	https://algomaster.io/learn/dsa/time-needed-to-buy-tickets
Easy	Moving Average from Data Stream	moving-average-from-data-stream	algomaster	https://algomaster.io/learn/dsa/moving-average-from-data-stream
Medium	Reveal Cards In Increasing Order	reveal-cards-in-increasing-order	algomaster	https://algomaster.io/learn/dsa/reveal-cards-in-increasing-order
Medium	First Unique Number	first-unique-number	algomaster	https://algomaster.io/learn/dsa/first-unique-number
Medium	Number of People Aware of a Secret	number-of-people-aware-of-a-secret	algomaster	https://algomaster.io/learn/dsa/number-of-people-aware-of-a-secret
Medium	Find the Winner of the Circular Game	find-the-winner-of-the-circular-game	algomaster	https://algomaster.io/learn/dsa/find-the-winner-of-the-circular-game
Medium	Continuous Subarrays	continuous-subarrays	algomaster	https://algomaster.io/learn/dsa/continuous-subarrays
Medium	Jump Game VI	jump-game-vi	algomaster	https://algomaster.io/learn/dsa/jump-game-vi
Medium	Find the Most Competitive Subsequence	find-the-most-competitive-subsequence	algomaster	https://algomaster.io/learn/dsa/find-the-most-competitive-subsequence
Medium	Count Partitions With Max-Min Difference at Most K	count-partitions-with-max-min-difference-at-most-k	algomaster	https://algomaster.io/learn/dsa/count-partitions-with-max-min-difference-at-most-k
Medium	Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit	longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit	algomaster	https://algomaster.io/learn/dsa/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit
Hard	Sliding Window Maximum	sliding-window-maximum	algomaster	https://algomaster.io/learn/dsa/sliding-window-maximum
Hard	Max Value of Equation	max-value-of-equation	algomaster	https://algomaster.io/learn/dsa/max-value-of-equation
Hard	Constrained Subsequence Sum	constrained-subsequence-sum	algomaster	https://algomaster.io/learn/dsa/constrained-subsequence-sum
Hard	Shortest Subarray with Sum at Least K	shortest-subarray-with-sum-at-least-k	algomaster	https://algomaster.io/learn/dsa/shortest-subarray-with-sum-at-least-k
