Difficulty	Title	Slug	Source	Link
	Introduction	sliding-window-introduction	algomaster	https://algomaster.io/learn/dsa/sliding-window-introduction
Easy	Maximum Average Subarray I	maximum-average-subarray-i	algomaster	https://algomaster.io/learn/dsa/maximum-average-subarray-i
Medium	Find All Anagrams in a String	find-all-anagrams-in-a-string	algomaster	https://algomaster.io/learn/dsa/find-all-anagrams-in-a-string
Medium	Permutation in String	permutation-in-string	algomaster	https://algomaster.io/learn/dsa/permutation-in-string
Medium	Maximum Sum of Distinct Subarrays With Length K	maximum-sum-of-distinct-subarrays-with-length-k	algomaster	https://algomaster.io/learn/dsa/maximum-sum-of-distinct-subarrays-with-length-k
Medium	Maximum Number of Vowels in a Substring of Given Length	maximum-number-of-vowels-in-a-substring-of-given-length	algomaster	https://algomaster.io/learn/dsa/maximum-number-of-vowels-in-a-substring-of-given-length
Hard	Substring with Concatenation of All Words	substring-with-concatenation-of-all-words	algomaster	https://algomaster.io/learn/dsa/substring-with-concatenation-of-all-words
Medium	Longest Substring Without Repeating Characters	longest-substring-without-repeating-characters	algomaster	https://algomaster.io/learn/dsa/longest-substring-without-repeating-characters
Medium	Longest Repeating Character Replacement	longest-repeating-character-replacement	algomaster	https://algomaster.io/learn/dsa/longest-repeating-character-replacement
Medium	Minimum Size Subarray Sum	minimum-size-subarray-sum	algomaster	https://algomaster.io/learn/dsa/minimum-size-subarray-sum
Medium	Max Consecutive Ones III	max-consecutive-ones-iii	algomaster	https://algomaster.io/learn/dsa/max-consecutive-ones-iii
Medium	Count Number of Nice Subarrays	count-number-of-nice-subarrays	algomaster	https://algomaster.io/learn/dsa/count-number-of-nice-subarrays
Medium	Fruit Into Baskets	fruit-into-baskets	algomaster	https://algomaster.io/learn/dsa/fruit-into-baskets
Medium	Maximum Points You Can Obtain from Cards	maximum-points-you-can-obtain-from-cards	algomaster	https://algomaster.io/learn/dsa/maximum-points-you-can-obtain-from-cards
Medium	Subarray Product Less Than K	subarray-product-less-than-k	algomaster	https://algomaster.io/learn/dsa/subarray-product-less-than-k
Medium	Frequency of the Most Frequent Element	frequency-of-the-most-frequent-element	algomaster	https://algomaster.io/learn/dsa/frequency-of-the-most-frequent-element
Medium	Longest Substring with At Most Two Distinct Characters	longest-substring-with-at-most-two-distinct-characters	algomaster	https://algomaster.io/learn/dsa/longest-substring-with-at-most-two-distinct-characters
Medium	Longest Substring with At Most K Distinct Characters	longest-substring-with-at-most-k-distinct-characters	algomaster	https://algomaster.io/learn/dsa/longest-substring-with-at-most-k-distinct-characters
Medium	Longest Substring with At Least K Repeating Characters	longest-substring-with-at-least-k-repeating-characters	algomaster	https://algomaster.io/learn/dsa/longest-substring-with-at-least-k-repeating-characters
Hard	Minimum Window Substring	minimum-window-substring	algomaster	https://algomaster.io/learn/dsa/minimum-window-substring
Hard	Minimum Window Subsequence	minimum-window-subsequence	algomaster	https://algomaster.io/learn/dsa/minimum-window-subsequence
Hard	Subarrays with K Different Integers	subarrays-with-k-different-integers	algomaster	https://algomaster.io/learn/dsa/subarrays-with-k-different-integers
