Difficulty	Title	Slug	Source	Link
	Bubble Sort	bubble-sort	algomaster	https://algomaster.io/learn/dsa/bubble-sort
	Selection Sort	selection-sort	algomaster	https://algomaster.io/learn/dsa/selection-sort
	Insertion Sort	insertion-sort	algomaster	https://algomaster.io/learn/dsa/insertion-sort
	Shell Sort	shell-sort	algomaster	https://algomaster.io/learn/dsa/shell-sort
	Merge Sort	merge-sort	algomaster	https://algomaster.io/learn/dsa/merge-sort
	Quick Sort	quick-sort	algomaster	https://algomaster.io/learn/dsa/quick-sort
	Heap Sort	heap-sort	algomaster	https://algomaster.io/learn/dsa/heap-sort
	Counting Sort	counting-sort	algomaster	https://algomaster.io/learn/dsa/counting-sort
	Bucket Sort	bucket-sort	algomaster	https://algomaster.io/learn/dsa/bucket-sort
	Radix Sort	radix-sort	algomaster	https://algomaster.io/learn/dsa/radix-sort
	Cyclic Sort	cyclic-sort	algomaster	https://algomaster.io/learn/dsa/cyclic-sort
	Tim Sort	tim-sort	algomaster	https://algomaster.io/learn/dsa/tim-sort
	External Sort	external-sort	algomaster	https://algomaster.io/learn/dsa/external-sort
