Difficulty	Title	Slug	Source	Link
	Introduction	stack-introduction	algomaster	https://algomaster.io/learn/dsa/stack-introduction
Easy	Valid Parentheses	valid-parentheses	algomaster	https://algomaster.io/learn/dsa/valid-parentheses
Easy	Remove All Adjacent Duplicates In String	remove-all-adjacent-duplicates-in-string	algomaster	https://algomaster.io/learn/dsa/remove-all-adjacent-duplicates-in-string
Easy	Baseball Game	baseball-game	algomaster	https://algomaster.io/learn/dsa/baseball-game
Easy	Maximum Nesting Depth of the Parentheses	maximum-nesting-depth-of-the-parentheses	algomaster	https://algomaster.io/learn/dsa/maximum-nesting-depth-of-the-parentheses
Medium	Min Stack	min-stack	algomaster	https://algomaster.io/learn/dsa/min-stack
Medium	Remove Duplicate Letters	remove-duplicate-letters	algomaster	https://algomaster.io/learn/dsa/remove-duplicate-letters
Medium	Removing Stars From a String	removing-stars-from-a-string	algomaster	https://algomaster.io/learn/dsa/removing-stars-from-a-string
Medium	Evaluate Reverse Polish Notation	evaluate-reverse-polish-notation	algomaster	https://algomaster.io/learn/dsa/evaluate-reverse-polish-notation
Medium	Basic Calculator II	basic-calculator-ii	algomaster	https://algomaster.io/learn/dsa/basic-calculator-ii
Medium	Asteroid Collision	asteroid-collision	algomaster	https://algomaster.io/learn/dsa/asteroid-collision
Medium	Car Fleet	car-fleet	algomaster	https://algomaster.io/learn/dsa/car-fleet
Medium	Valid Parenthesis String	valid-parenthesis-string	algomaster	https://algomaster.io/learn/dsa/valid-parenthesis-string
Medium	Validate Stack Sequences	validate-stack-sequences	algomaster	https://algomaster.io/learn/dsa/validate-stack-sequences
Medium	Minimum Remove to Make Valid Parentheses	minimum-remove-to-make-valid-parentheses	algomaster	https://algomaster.io/learn/dsa/minimum-remove-to-make-valid-parentheses
Medium	Simplify Path	simplify-path	algomaster	https://algomaster.io/learn/dsa/simplify-path
Medium	Exclusive Time of Functions	exclusive-time-of-functions	algomaster	https://algomaster.io/learn/dsa/exclusive-time-of-functions
Medium	Basic Calculator	basic-calculator	algomaster	https://algomaster.io/learn/dsa/basic-calculator
Hard	Longest Valid Parentheses	longest-valid-parentheses	algomaster	https://algomaster.io/learn/dsa/longest-valid-parentheses
	Introduction	monotonic-stack-introduction	algomaster	https://algomaster.io/learn/dsa/monotonic-stack-introduction
Easy	Next Greater Element I	next-greater-element-i	algomaster	https://algomaster.io/learn/dsa/next-greater-element-i
Easy	Final Prices With a Special Discount in a Shop	final-prices-with-a-special-discount-in-a-shop	algomaster	https://algomaster.io/learn/dsa/final-prices-with-a-special-discount-in-a-shop
Medium	Daily Temperatures	daily-temperatures	algomaster	https://algomaster.io/learn/dsa/daily-temperatures
Medium	Online Stock Span	online-stock-span	algomaster	https://algomaster.io/learn/dsa/online-stock-span
Medium	132 Pattern	132-pattern	algomaster	https://algomaster.io/learn/dsa/132-pattern
Medium	Next Greater Element II	next-greater-element-ii	algomaster	https://algomaster.io/learn/dsa/next-greater-element-ii
Medium	Buildings With an Ocean View	buildings-with-an-ocean-view	algomaster	https://algomaster.io/learn/dsa/buildings-with-an-ocean-view
Medium	Remove K Digits	remove-k-digits	algomaster	https://algomaster.io/learn/dsa/remove-k-digits
Medium	Maximum Width Ramp	maximum-width-ramp	algomaster	https://algomaster.io/learn/dsa/maximum-width-ramp
Medium	Max Chunks To Make Sorted	max-chunks-to-make-sorted	algomaster	https://algomaster.io/learn/dsa/max-chunks-to-make-sorted
Medium	Sum of Subarray Minimums	sum-of-subarray-minimums	algomaster	https://algomaster.io/learn/dsa/sum-of-subarray-minimums
Medium	Sum of Subarray Ranges	sum-of-subarray-ranges	algomaster	https://algomaster.io/learn/dsa/sum-of-subarray-ranges
Medium	Shortest Unsorted Continuous Subarray	shortest-unsorted-continuous-subarray	algomaster	https://algomaster.io/learn/dsa/shortest-unsorted-continuous-subarray
Medium	Next Greater Node In Linked List	next-greater-node-in-linked-list	algomaster	https://algomaster.io/learn/dsa/next-greater-node-in-linked-list
Hard	Create Maximum Number	create-maximum-number	algomaster	https://algomaster.io/learn/dsa/create-maximum-number
Hard	Number of Visible People in a Queue	number-of-visible-people-in-a-queue	algomaster	https://algomaster.io/learn/dsa/number-of-visible-people-in-a-queue
Hard	Largest Rectangle in Histogram	largest-rectangle-in-histogram	algomaster	https://algomaster.io/learn/dsa/largest-rectangle-in-histogram
