Difficulty	Title	Slug	Source	Link
	Introduction	tries-introduction	algomaster	https://algomaster.io/learn/dsa/tries-introduction
Medium	Implement Trie (Prefix Tree)	implement-trie-prefix-tree	algomaster	https://algomaster.io/learn/dsa/implement-trie-prefix-tree
Medium	Design Add and Search Words Data Structure	design-add-and-search-words-data-structure	algomaster	https://algomaster.io/learn/dsa/design-add-and-search-words-data-structure
Medium	Search Suggestions System	search-suggestions-system	algomaster	https://algomaster.io/learn/dsa/search-suggestions-system
Medium	Longest Word in Dictionary	longest-word-in-dictionary	algomaster	https://algomaster.io/learn/dsa/longest-word-in-dictionary
Medium	Replace Words	replace-words	algomaster	https://algomaster.io/learn/dsa/replace-words
Medium	Remove Sub-Folders from the Filesystem	remove-sub-folders-from-the-filesystem	algomaster	https://algomaster.io/learn/dsa/remove-sub-folders-from-the-filesystem
Medium	Find the Length of the Longest Common Prefix	find-the-length-of-the-longest-common-prefix	algomaster	https://algomaster.io/learn/dsa/find-the-length-of-the-longest-common-prefix
Medium	Words Within Two Edits of Dictionary	words-within-two-edits-of-dictionary	algomaster	https://algomaster.io/learn/dsa/words-within-two-edits-of-dictionary
Medium	Maximum XOR of Two Numbers in an Array	maximum-xor-of-two-numbers-in-an-array	algomaster	https://algomaster.io/learn/dsa/maximum-xor-of-two-numbers-in-an-array
Hard	Word Search II	word-search-ii	algomaster	https://algomaster.io/learn/dsa/word-search-ii
Hard	Stream of Characters	stream-of-characters	algomaster	https://algomaster.io/learn/dsa/stream-of-characters
Hard	Concatenated Words	concatenated-words	algomaster	https://algomaster.io/learn/dsa/concatenated-words
Hard	Word Squares	word-squares	algomaster	https://algomaster.io/learn/dsa/word-squares
Hard	Palindrome Pairs	palindrome-pairs	algomaster	https://algomaster.io/learn/dsa/palindrome-pairs
