MainTopic	Subgroup	Difficulty	Title	Slug	Source	Link
Time and Space Complexity / Online Judge	Online Judge	Theory	Why, What and How?		read.learnyard.com	https://read.learnyard.com/dsa/oj-wwh/
Time and Space Complexity / Online Judge	Online Judge	Theory	Popular Online Platforms		read.learnyard.com	https://read.learnyard.com/dsa/popular-online-platforms/
Time and Space Complexity / Online Judge	Online Judge	Theory	Tearing Down a Problem		read.learnyard.com	https://read.learnyard.com/dsa/tearing-down-a-problem/
Time and Space Complexity / Online Judge	Time and Space Complexity	Theory	Inroduction to Time Complexity		read.learnyard.com	https://read.learnyard.com/dsa/introduction-to-time-complexity/
Time and Space Complexity / Online Judge	Time and Space Complexity	Theory	Introduction to Space Complexity		read.learnyard.com	https://read.learnyard.com/dsa/introduction-to-space-complexity/
Time and Space Complexity / Online Judge	Time and Space Complexity	Theory	Different Notations in Time Complexity		read.learnyard.com	https://read.learnyard.com/dsa/different-notations-in-time-complexity/
Time and Space Complexity / Online Judge	Time and Space Complexity	Theory	Comparing different time complexities		read.learnyard.com	https://read.learnyard.com/dsa/comparing-different-time-complexities/
Time and Space Complexity / Online Judge	Time and Space Complexity	Theory	How to Calculate Time Complexity?		read.learnyard.com	https://read.learnyard.com/dsa/how-to-calculate-time-complexity/
Time and Space Complexity / Online Judge	Time and Space Complexity	Basic	Quiz: Time Complexity		read.learnyard.com	https://read.learnyard.com/dsa/quiz-time-complexity/
Dsa Fundamentals	Control Flow	Basic	if-else and else-if ladder Practice		read.learnyard.com	https://read.learnyard.com/dsa/if-else-practice/
Dsa Fundamentals	Control Flow	Basic	Loops Practice 1		read.learnyard.com	https://read.learnyard.com/dsa/loops-practice-1/
Dsa Fundamentals	Control Flow	Basic	Loops Practice 2		read.learnyard.com	https://read.learnyard.com/dsa/loops-practice-2/
Dsa Fundamentals	Control Flow	Basic	Loops Practice 3		read.learnyard.com	https://read.learnyard.com/dsa/loops-practice-3/
Dsa Fundamentals	Control Flow	Basic	Loops Practice 4		read.learnyard.com	https://read.learnyard.com/dsa/loops-practice-4/
Dsa Fundamentals	Control Flow	Basic	Square Star and Rhombus Star Patterns		read.learnyard.com	https://read.learnyard.com/dsa/square-star-and-rhombus-star-patterns/
Dsa Fundamentals	Control Flow	Basic	Triangle Star Patterns		read.learnyard.com	https://read.learnyard.com/dsa/triangle-star-patterns/
Dsa Fundamentals	Control Flow	Basic	Pyramid Star Patterns		read.learnyard.com	https://read.learnyard.com/dsa/pyramid-star-patterns/
Dsa Fundamentals	Control Flow	Basic	Miscellaneous Star Patterns		read.learnyard.com	https://read.learnyard.com/dsa/miscellaneous-star-patterns/
Dsa Fundamentals	Control Flow	Basic	Number Patterns 1		read.learnyard.com	https://read.learnyard.com/dsa/number-patterns-1/
Dsa Fundamentals	Control Flow	Basic	Number Patterns 2		read.learnyard.com	https://read.learnyard.com/dsa/number-patterns-2/
Dsa Fundamentals	Control Flow	Basic	Triangular Number Patterns 1		read.learnyard.com	https://read.learnyard.com/dsa/triangular-number-patterns-1/
Dsa Fundamentals	Control Flow	Basic	Triangular Number Patterns 2		read.learnyard.com	https://read.learnyard.com/dsa/triangular-number-patterns-2/
Dsa Fundamentals	Control Flow	Basic	Triangular Number Patterns 3		read.learnyard.com	https://read.learnyard.com/dsa/triangular-number-patterns-3/
Dsa Fundamentals	Control Flow	Basic	Switch Statement Practice		read.learnyard.com	https://read.learnyard.com/dsa/switch-statement-practice/
Dsa Fundamentals	Array Basics	Basic	Print Each Element and Its Index in an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Print Elements of an Array in Reverse Order		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Print Alternate Elements of an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Create a Duplicate of an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Create Two Arrays one for Odd Elements and one for Even Elements		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Calculate Sum and Product of Array Elements		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Count Occurrences of a Target Number in an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Check if an Array is Sorted Forward, Backward or Not at All		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Count Unique and Duplicate Elements in an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Check if Two Elements Exist with a Sum Equal to a Target Value		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Check if Three Elements Exist with a Sum Equal to a Target Value		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Find the Maximum Element in an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Find the Minimum Element in an Array		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Find the Second Maximum Element; if None, Print -1		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Find the Second Minimum Element; if None, Print -1		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Insert an Element at the Xth Position, Shifting Right		unknown	NA
Dsa Fundamentals	Array Basics	Basic	Delete an Element at the Xth Position, Shifting Left		unknown	NA
Dsa Fundamentals	String Basics	Basic	Print ASCII Value of Each Character in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Count Letters, Numbers, and Special Characters in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Find the Difference between the Number of Consonants and Vowels		unknown	NA
Dsa Fundamentals	String Basics	Basic	Convert Uppercase to Lowercase and Vice Versa in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Remove Leading, Trailing, and Extra Spaces in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Count the Number of Words in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Find the Maximum and Minimum Occurring Characters in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Check if There are Two or Three Consecutive Identical Characters in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Find the First and Last Index of Occurrence for Each Character in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Check if a String Contains All Letters from 'a' to 'z'		unknown	NA
Dsa Fundamentals	String Basics	Basic	Insert a Character at the First, Last, and Kth Position in a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Remove the First, Last, and Kth Character from a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Find a Specific Substring within a String		unknown	NA
Dsa Fundamentals	String Basics	Basic	Generate All Possible Substrings of a String		unknown	NA
