Subgroup	Difficulty	Title	Slug	Source	Link
Part I	Easy	Maximum 69 Number	maximum-69-number	leetcode	https://leetcode.com/problems/maximum-69-number/description/
Part I	Easy	Maximum Sum with Exactly K Elements	maximum-sum-with-exactly-k-elements	leetcode	https://leetcode.com/problems/maximum-sum-with-exactly-k-elements/description/
Part I	Easy	Minimum Time to Type Word Using Special Typewriter	minimum-time-to-type-word-using-special-typewriter	leetcode	https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/description/
Part I	Easy	Minimum Operations to Make the Array Increasing	minimum-operations-to-make-the-array-increasing	leetcode	https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing/description/
Part I	Easy	Minimum Number of Operations to Convert Time	minimum-number-of-operations-to-convert-time	leetcode	https://leetcode.com/problems/minimum-number-of-operations-to-convert-time/description/
Part I	Easy	Assign Cookies	assign-cookies	leetcode	https://leetcode.com/problems/assign-cookies/
Part I	Easy	Play with Chips	play-with-chips	leetcode	https://leetcode.com/problems/play-with-chips/
Part I	Medium	Jump Game	jump-game	leetcode	https://leetcode.com/problems/jump-game/
Part I	Medium	Jump Game II	jump-game-ii	leetcode	https://leetcode.com/problems/jump-game-ii/
Part I	Medium	Wiggle Subsequence	wiggle-subsequence	leetcode	https://leetcode.com/problems/wiggle-subsequence/
Part I	Medium	Cinema Seat Allocation	cinema-seat-allocation	leetcode	https://leetcode.com/problems/cinema-seat-allocation/
Part I	Medium	Advantage Shuffle	advantage-shuffle	leetcode	https://leetcode.com/problems/advantage-shuffle/
Part I	Medium	Minimum Score by Changing Two Elements	minimum-score-by-changing-two-elements	leetcode	https://leetcode.com/problems/minimum-score-by-changing-two-elements/
Part I	Medium	Minimum Operations to Make Array Equal II	minimum-operations-to-make-array-equal-ii	leetcode	https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii/
Part I	Medium	Mice and Cheese	mice-and-cheese	leetcode	https://leetcode.com/problems/mice-and-cheese/
Part I	Medium	Minimum Seconds to Equalize a Circular Array	minimum-seconds-to-equalize-a-circular-array	leetcode	https://leetcode.com/problems/minimum-seconds-to-equalize-a-circular-array/
Part I	Medium	Maximum Bags with Full Capacity of Rocks	maximum-bags-with-full-capacity-of-rocks	leetcode	https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/
Part I	Medium	Minimize Maximum of Array	minimize-maximum-of-array	leetcode	https://leetcode.com/problems/minimize-maximum-of-array/
Part I	Medium	Minimum Platforms		gfg	https://www.geeksforgeeks.org/problems/minimum-platforms-1587115620/1
Part I	Medium	Fractional Knapsack		gfg	https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1
Part I	Medium	Activity Selection		gfg	https://www.geeksforgeeks.org/problems/activity-selection-1587115620/1
Part I	Medium	Job Sequencing Problem		gfg	https://www.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1
Part I	Medium	Non-Overlapping Intervals	non-overlapping-intervals	leetcode	https://leetcode.com/problems/non-overlapping-intervals/description/
Part I	Medium	Divide Intervals into Minimum Number of Groups	divide-intervals-into-minimum-number-of-groups	leetcode	https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/description/
Part I	Medium	Task Scheduler	task-scheduler	leetcode	https://leetcode.com/problems/task-scheduler/
Part I	Hard	Minimum Number of Operations to Make Arrays Similar	minimum-number-of-operations-to-make-arrays-similar	leetcode	https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar/description/
Part I	Hard	Minimum Cost for Cutting Cake II	minimum-cost-for-cutting-cake-ii	leetcode	https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii/description/
Part I	Hard	Patching Array	patching-array	leetcode	https://leetcode.com/problems/patching-array/description/
Part I	Hard	Reverse Subarray to Maximize Array Value	reverse-subarray-to-maximize-array-value	leetcode	https://leetcode.com/problems/reverse-subarray-to-maximize-array-value/description/
Part I	Hard	Super Washing Machines	super-washing-machines	leetcode	https://leetcode.com/problems/super-washing-machines/description/
Part I	Hard	Minimum Cost to Equalize Array	minimum-cost-to-equalize-array	leetcode	https://leetcode.com/problems/minimum-cost-to-equalize-array/description/
Part I	Medium	Optimal Partition of String	optimal-partition-of-string	leetcode	https://leetcode.com/problems/optimal-partition-of-string/
Part I	Medium	Minimum Swaps to Make Strings Equal	minimum-swaps-to-make-strings-equal	leetcode	https://leetcode.com/problems/minimum-swaps-to-make-strings-equal/
Part I	Hard	Maximum Number of Non-Overlapping Substrings	maximum-number-of-non-overlapping-substrings	leetcode	https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/description/
Part I	Hard	Lexicographically Smallest Beautiful String	lexicographically-smallest-beautiful-string	leetcode	https://leetcode.com/problems/lexicographically-smallest-beautiful-string/description/
Part I	Hard	Count K-Subsequences of a String with Maximum Beauty	count-k-subsequences-of-a-string-with-maximum-beauty	leetcode	https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/description/
Part I	Medium	Bag of Tokens	bag-of-tokens	leetcode	https://leetcode.com/problems/bag-of-tokens/
Part I	Medium	Boats to Save People	boats-to-save-people	leetcode	https://leetcode.com/problems/boats-to-save-people/
Part I	Medium	Maximum Matching of Players with Trainers	maximum-matching-of-players-with-trainers	leetcode	https://leetcode.com/problems/maximum-matching-of-players-with-trainers/
Part I	Hard	Candy	candy	leetcode	https://leetcode.com/problems/candy/
Part II	Easy	Lemonade Change	lemonade-change	leetcode	https://leetcode.com/problems/lemonade-change/
Part II	Medium	Gas Station	gas-station	leetcode	https://leetcode.com/problems/gas-station/
Part II	Medium	Group the People Given the Group Size They Belong To	group-the-people-given-the-group-size-they-belong-to	leetcode	https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/
Part II	Medium	Divide Array in Sets of K Consecutive Numbers	divide-array-in-sets-of-k-consecutive-numbers	leetcode	https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers/
Part II	Medium	Previous Permutation with One Swap	previous-permutation-with-one-swap	leetcode	https://leetcode.com/problems/previous-permutation-with-one-swap/
Part II	Medium	Partition Labels	partition-labels	leetcode	https://leetcode.com/problems/partition-labels/
Part II	Medium	Construct K Palindrome Strings	construct-k-palindrome-strings	leetcode	https://leetcode.com/problems/construct-k-palindrome-strings/
Part II	Medium	Reorganize String	reorganize-string	leetcode	https://leetcode.com/problems/reorganize-string/
Part II	Medium	String Without AAA or BBB	string-without-aaa-or-bbb	leetcode	https://leetcode.com/problems/string-without-aaa-or-bbb/
Part II	Medium	Check If a String Can Break Another String	check-if-a-string-can-break-another-string	leetcode	https://leetcode.com/problems/check-if-a-string-can-break-another-string/
Part II	Medium	Remove Duplicate Letters	remove-duplicate-letters	leetcode	https://leetcode.com/problems/remove-duplicate-letters/
Part II	Medium	Largest Merge of Two Strings	largest-merge-of-two-strings	leetcode	https://leetcode.com/problems/largest-merge-of-two-strings/description/
Part II	Medium	Shortest String That Contains Three Strings	shortest-string-that-contains-three-strings	leetcode	https://leetcode.com/problems/shortest-string-that-contains-three-strings/
Part II	Medium	Lexicographically Smallest String After Substring Operation	lexicographically-smallest-string-after-substring-operation	leetcode	https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation/
Part II	Medium	Minimum Rounds to Complete All Tasks	minimum-rounds-to-complete-all-tasks	leetcode	https://leetcode.com/problems/minimum-rounds-to-complete-all-tasks/description/
Part II	Medium	Number of Burgers with No Waste of Ingredients	number-of-burgers-with-no-waste-of-ingredients	leetcode	https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients/
Part II	Medium	Queue Reconstruction by Height	queue-reconstruction-by-height	leetcode	https://leetcode.com/problems/queue-reconstruction-by-height/
Part II	Medium	Car Pooling	car-pooling	leetcode	https://leetcode.com/problems/car-pooling/
