1100	3099	MOD_DIV,DIGIT	Harshad Number
1104	1480	SUM_ARITH	Running Sum of 1d Array
1115	3028	-	Ant on the Boundary
1118	1394	-	Find Lucky Integer in an Array
1120	1470	-	Shuffle the Array
1121	1464	-	Maximum Product of Two Elements in an Array
1125	1455	-	Check If a Word Occurs As a Prefix of Any Word in a Sentence
1129	1450	-	Number of Students Doing Homework at a Given Time
1129	977	POWER_ROOT	Squares of a Sorted Array
1132	1929	-	Concatenation of Array
1134	3024	GEOM	Type of Triangle
1139	1295	DIGIT	Find Numbers with Even Number of Digits
1139	1351	COUNT	Count Negative Numbers in a Sorted Matrix
1139	3190	MOD_DIV	Find Minimum Operations to Make All Elements Divisible by Three
1139	3856	-	Trim Trailing Vowels
1140	2894	MOD_DIV	Divisible and Non-divisible Sums Difference
1140	3492	-	Maximum Containers on a Ship
1141	1281	DIGIT,SUM_ARITH	Subtract the Product and Sum of Digits of an Integer
1142	1137	POWER_ROOT,FIB	N-th Tribonacci Number
1142	2798	-	Number of Employees Who Met the Target
1144	1913	PAIR_TRIP	Maximum Product Difference Between Two Pairs
1144	2413	MOD_DIV	Smallest Even Multiple
1147	2733	-	Neither Minimum nor Maximum
1148	3622	MOD_DIV,DIGIT,SUM_ARITH	Check Divisibility by Digit Sum and Product
1149	3065	-	Minimum Operations to Exceed Threshold Value I
1149	3184	PAIR_TRIP,COUNT	Count Pairs That Form a Complete Day I
1149	3870	COUNT	Count Commas in Range
1151	1290	BIT_XOR	Convert Binary Number in a Linked List to Integer
1151	1460	-	Make Two Arrays Equal by Reversing Sub-arrays
1151	2455	MOD_DIV	Average Value of Even Numbers That Are Divisible by Three
1151	2778	POWER_ROOT,SUM_ARITH	Sum of Squares of Special Elements
1151	2828	-	Check if a String Is an Acronym of Words
1152	1365	-	How Many Numbers Are Smaller Than the Current Number
1152	2089	PROB	Find Target Indices After Sorting Array
1152	3110	-	Score of a String
1152	3146	PERM_COMB	Permutation Difference between Two Strings
1152	3151	-	Special Array I
1153	2469	-	Convert the Temperature
1154	1502	-	Can Make Arithmetic Progression From Sequence
1154	3861	-	Minimum Capacity Box
1155	2351	-	First Letter to Appear Twice
1157	2903	PROB	Find Indices With Index and Value Difference I
1160	1512	PAIR_TRIP	Number of Good Pairs
1160	1920	PERM_COMB	Build Array from Permutation
1160	3131	-	Find the Integer Added to Array I
1160	3842	-	Toggle Light Bulbs
1161	2278	-	Percentage of Letter in String
1161	3884	-	First Matching Character From Both Ends
1161	961	-	N-Repeated Element in Size 2N Array
1162	3274	POWER_ROOT	Check if Two Chessboard Squares Have the Same Color
1163	1342	-	Number of Steps to Reduce a Number to Zero
1163	3232	GAME,DIGIT	Find if Digit Game Can Be Won
1163	3289	-	The Two Sneaky Numbers of Digitville
1164	1374	-	Generate a String With Characters That Have Odd Counts
1164	2710	-	Remove Trailing Zeros From a String
1164	3516	-	Find Closest Person
1164	771	-	Jewels and Stones
1165	1446	-	Consecutive Characters
1165	2011	-	Final Value of Variable After Performing Operations
1165	2824	PAIR_TRIP,COUNT,SUM_ARITH	Count Pairs Whose Sum is Less than Target
1165	3467	-	Transform Array by Parity
1165	3931	DIGIT	Check Adjacent Digit Differences
1166	1768	-	Merge Strings Alternately
1166	1832	-	Check if the Sentence Is Pangram
1166	3285	PROB	Find Indices of Stable Mountains
1167	1304	SUM_ARITH	Find N Unique Integers Sum up to Zero
1167	2057	-	Smallest Index With Equal Value
1167	2185	-	Counting Words With a Given Prefix
1167	2441	-	Largest Positive Integer That Exists With Its Negative
1167	796	-	Rotate String
1168	2651	-	Calculate Delayed Arrival Time
1168	3162	PAIR_TRIP	Find the Number of Good Pairs I
1169	2960	COUNT	Count Tested Devices After Test Operations
