Rating	ID	Title	MathTag	Slug	Contest	QPos	AR
1550	2207	Maximize Number of Subsequences in a String	-	maximize-number-of-subsequences-in-a-string	biweekly-contest-74	Q2	36.1%
1550	2208	Minimum Operations to Halve Array Sum	-	minimum-operations-to-halve-array-sum	biweekly-contest-74	Q3	50.2%
1552	2461	Maximum Sum of Distinct Subarrays With Length K	-	maximum-sum-of-distinct-subarrays-with-length-k	weekly-contest-318	Q2	43.0%
1553	3361	Shift Distance Between Two Strings	MOD_ARITH	shift-distance-between-two-strings	biweekly-contest-144	Q2	53.6%
1556	2131	Longest Palindrome by Concatenating Two Letter Words	PALINDROME	longest-palindrome-by-concatenating-two-letter-words	biweekly-contest-69	Q3	53.5%
1556	3652	Best Time to Buy and Sell Stock using Strategy	-	best-time-to-buy-and-sell-stock-using-strategy	weekly-contest-463	Q1	59.8%
1556	3653	XOR After Range Multiplication Queries I	MOD_ARITH,XOR	xor-after-range-multiplication-queries-i	weekly-contest-463	Q2	73.3%
1556	3849	Maximum Bitwise XOR After Rearrangement	BIT_OPS	maximum-bitwise-xor-after-rearrangement	weekly-contest-490	Q3	71.3%
1557	2007	Find Original Array From Doubled Array	PAIR_COUNT	find-original-array-from-doubled-array	biweekly-contest-61	Q2	40.8%
1558	1101	The Earliest Moment When Everyone Become Friends	-	the-earliest-moment-when-everyone-become-friends	biweekly-contest-3	Q3	66.1%
1558	1144	Decrease Elements To Make Array Zigzag	-	decrease-elements-to-make-array-zigzag	weekly-contest-148	Q1	49.2%
1558	1181	Before and After Puzzle	-	before-and-after-puzzle	biweekly-contest-8	Q2	51.9%
1558	1243	Array Transformation	-	array-transformation	biweekly-contest-12	Q2	53.7%
1558	2310	Sum of Numbers With Units Digit K	DIGIT_OPS,MOD_ARITH	sum-of-numbers-with-units-digit-k	weekly-contest-298	Q2	28.3%
1559	2470	Number of Subarrays With LCM Equal to K	GCD_LCM	number-of-subarrays-with-lcm-equal-to-k	weekly-contest-319	Q2	45.5%
1560	3693	Climbing Stairs II	-	climbing-stairs-ii	biweekly-contest-166	Q2	64.2%
1561	1256	Encode Number	-	encode-number	biweekly-contest-13	Q1	70.3%
1561	1376	Time Needed to Inform All Employees	-	time-needed-to-inform-all-employees	weekly-contest-179	Q3	60.5%
1562	1008	Construct Binary Search Tree from Preorder Traversal	-	construct-binary-search-tree-from-preorder-traversal	weekly-contest-127	Q4	84.3%
1562	1452	People Whose List of Favorite Companies Is Not a Subset of Another List	-	people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list	weekly-contest-189	Q3	60.7%
1562	2409	Count Days Spent Together	-	count-days-spent-together	biweekly-contest-87	Q1	48.0%
1562	856	Score of Parentheses	-	score-of-parentheses	weekly-contest-90	Q2	63.6%
1563	2970	Count the Number of Incremovable Subarrays I	-	count-the-number-of-incremovable-subarrays-i	biweekly-contest-120	Q1	56.6%
1563	3305	Count of Substrings Containing Every Vowel and K Consonants I	-	count-of-substrings-containing-every-vowel-and-k-consonants-i	weekly-contest-417	Q2	41.9%
1563	800	Similar RGB Color	-	similar-rgb-color	weekly-contest-76	Q1	68.0%
1565	3249	Count the Number of Good Nodes	-	count-the-number-of-good-nodes	weekly-contest-410	Q2	55.4%
1565	3493	Properties Graph	-	properties-graph	weekly-contest-442	Q2	48.8%
1565	846	Hand of Straights	-	hand-of-straights	weekly-contest-87	Q3	58.0%
1566	769	Max Chunks To Make Sorted	-	max-chunks-to-make-sorted	weekly-contest-68	Q3	64.2%
1567	2044	Count Number of Maximum Bitwise-OR Subsets	BIT_OPS	count-number-of-maximum-bitwise-or-subsets	weekly-contest-263	Q3	89.5%
1567	3243	Shortest Distance After Road Addition Queries I	-	shortest-distance-after-road-addition-queries-i	weekly-contest-409	Q2	61.9%
1568	3567	Minimum Absolute Difference in Sliding Submatrix	-	minimum-absolute-difference-in-sliding-submatrix	weekly-contest-452	Q2	78.8%
1569	1109	Corporate Flight Bookings	-	corporate-flight-bookings	weekly-contest-144	Q2	67.3%
1569	2592	Maximize Greatness of an Array	-	maximize-greatness-of-an-array	biweekly-contest-100	Q2	61.7%
1570	1019	Next Greater Node In Linked List	-	next-greater-node-in-linked-list	weekly-contest-130	Q3	64.3%
1571	779	K-th Symbol in Grammar	BIT_OPS	k-th-symbol-in-grammar	weekly-contest-70	Q1	48.3%
1573	1268	Search Suggestions System	-	search-suggestions-system	weekly-contest-164	Q3	65.2%
1573	1423	Maximum Points You Can Obtain from Cards	-	maximum-points-you-can-obtain-from-cards	weekly-contest-186	Q2	57.7%
1573	3393	Count Paths With the Given XOR Value	XOR	count-paths-with-the-given-xor-value	biweekly-contest-146	Q2	40.7%
1573	931	Minimum Falling Path Sum	-	minimum-falling-path-sum	weekly-contest-108	Q3	60.8%
1574	1578	Minimum Deletion Cost to Avoid Repeating Letters	-	minimum-time-to-make-rope-colorful	weekly-contest-205	Q3	65.2%
1574	981	Time Based Key-Value Store	-	time-based-key-value-store	weekly-contest-121	Q2	49.9%
1575	1415	The k-th Lexicographical String of All Happy Strings of Length n	PERM_COMB	the-k-th-lexicographical-string-of-all-happy-strings-of-length-n	biweekly-contest-24	Q3	87.1%
1577	2288	Apply Discount to Prices	-	apply-discount-to-prices	weekly-contest-295	Q2	34.3%
1578	1034	Coloring A Border	-	coloring-a-border	weekly-contest-134	Q2	51.3%
1578	3412	Find Mirror Score of a String	-	find-mirror-score-of-a-string	weekly-contest-431	Q2	35.8%
1578	3868	Minimum Cost to Equalize Arrays Using Swaps	-	minimum-cost-to-equalize-arrays-using-swaps	biweekly-contest-178	Q3	48.6%
1579	1743	Restore the Array From Adjacent Pairs	-	restore-the-array-from-adjacent-pairs	weekly-contest-226	Q2	75.0%
1579	3528	Unit Conversion I	MOD_ARITH	unit-conversion-i	biweekly-contest-155	Q2	54.1%
1579	3623	Count Number of Trapezoids I	GEOM,PAIR_COUNT	count-number-of-trapezoids-i	weekly-contest-459	Q2	48.1%
1579	3789	Minimum Cost to Acquire Required Items	-	minimum-cost-to-acquire-required-items	weekly-contest-482	Q2	35.0%
1580	1839	Longest Substring Of All Vowels in Order	-	longest-substring-of-all-vowels-in-order	weekly-contest-238	Q3	51.9%
1580	2765	Longest Alternating Subarray	-	longest-alternating-subarray	biweekly-contest-108	Q1	35.3%
1581	2211	Count Collisions on a Road	-	count-collisions-on-a-road	weekly-contest-285	Q2	58.1%
1581	3021	Alice and Bob Playing Flower Game	GAME_THEORY,PAIR_COUNT,PARITY	alice-and-bob-playing-flower-game	weekly-contest-382	Q3	60.0%
1583	2536	Increment Submatrices by One	-	increment-submatrices-by-one	weekly-contest-328	Q2	73.8%
1583	2874	Maximum Value of an Ordered Triplet II	TRIPLE_COUNT	maximum-value-of-an-ordered-triplet-ii	weekly-contest-365	Q2	56.4%
1584	3780	Maximum Sum of Three Numbers Divisible by Three	MOD_ARITH,TRIPLE_COUNT	maximum-sum-of-three-numbers-divisible-by-three	biweekly-contest-172	Q2	47.7%
1585	1030	Matrix Cells in Distance Order	GEOM	matrix-cells-in-distance-order	weekly-contest-133	Q2	74.2%
1588	1764	Form Array by Concatenating Subarrays of Another Array	-	form-array-by-concatenating-subarrays-of-another-array	biweekly-contest-46	Q2	54.8%
1588	1813	Sentence Similarity III	-	sentence-similarity-iii	biweekly-contest-49	Q2	48.4%
1588	2844	Minimum Operations to Make a Special Number	DIGIT_OPS,MOD_ARITH	minimum-operations-to-make-a-special-number	weekly-contest-361	Q2	38.6%
1590	1573	Number of Ways to Split a String	PERM_COMB	number-of-ways-to-split-a-string	biweekly-contest-34	Q2	34.6%
1590	1664	Ways to Make a Fair Array	-	ways-to-make-a-fair-array	weekly-contest-216	Q3	66.9%
1590	877	Stone Game	GAME_THEORY	stone-game	weekly-contest-95	Q2	73.3%
1590	893	Groups of Special-Equivalent Strings	PARITY	groups-of-special-equivalent-strings	weekly-contest-99	Q2	73.6%
1590	969	Pancake Sorting	-	pancake-sorting	weekly-contest-118	Q2	71.8%
1591	1286	Iterator for Combination	PERM_COMB	iterator-for-combination	biweekly-contest-15	Q3	72.7%
1591	3207	Maximum Points After Enemy Battles	-	maximum-points-after-enemy-battles	biweekly-contest-134	Q2	33.4%
1591	3355	Zero Array Transformation I	-	zero-array-transformation-i	weekly-contest-424	Q2	54.5%
1591	3828	Final Element After Subarray Deletions	GAME_THEORY,TRICK	final-element-after-subarray-deletions	weekly-contest-487	Q2	40.6%
1591	930	Binary Subarrays With Sum	PREFIX_SUM	binary-subarrays-with-sum	weekly-contest-108	Q2	68.8%
1593	1577	Number of Ways Where Square of Number Is Equal to Product of Two Numbers	POWER,TRIPLE_COUNT	number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers	weekly-contest-205	Q2	43.5%
1593	3228	Maximum Number of Operations to Move Ones to the End	-	maximum-number-of-operations-to-move-ones-to-the-end	weekly-contest-407	Q3	67.1%
1593	3790	Smallest All-Ones Multiple	MOD_ARITH,PIGEONHOLE	smallest-all-ones-multiple	weekly-contest-482	Q3	47.0%
1593	3829	Design Ride Sharing System	-	design-ride-sharing-system	weekly-contest-487	Q3	63.3%
1594	822	Card Flipping Game	-	card-flipping-game	weekly-contest-81	Q2	50.4%
1595	3255	Find the Power of K-Size Subarrays II	STREAK	find-the-power-of-k-size-subarrays-ii	biweekly-contest-137	Q2	31.6%
1596	2476	Closest Nodes Queries in a Binary Search Tree	-	closest-nodes-queries-in-a-binary-search-tree	weekly-contest-320	Q2	44.5%
1597	1218	Longest Arithmetic Subsequence of Given Difference	-	longest-arithmetic-subsequence-of-given-difference	weekly-contest-157	Q2	54.3%
1597	1247	Minimum Swaps to Make Strings Equal	PARITY	minimum-swaps-to-make-strings-equal	weekly-contest-161	Q1	65.4%
