Rating	ID	Title	Slug	Contest	QPos	Difficulty	AR	LCtags
1699.6848167364	3607	Power Grid Maintenance	power-grid-maintenance	weekly-contest-457	Q2	Medium	56.2%	Array,Hash Table,Depth-First Search,Breadth-First Search,Union-Find,Graph Theory,Heap (Priority Queue),Ordered Set
1699.1071481616	3488	Closest Equal Element Queries	closest-equal-element-queries	weekly-contest-441	Q2	Medium	51.4%	Array,Hash Table,Binary Search
1697.8500495479	1017	Convert to Base -2	convert-to-base-2	weekly-contest-130	Q2	Medium	61.9%	Math
1697.4726349681	3862	Find the Smallest Balanced Index	find-the-smallest-balanced-index	weekly-contest-492	Q2	Medium	19.3%	Array,Prefix Sum
1697.2356875149	1289	Minimum Falling Path Sum II	minimum-falling-path-sum-ii	biweekly-contest-15	Q4	Hard	63.1%	Array,Dynamic Programming,Matrix
1697.0187705319	825	Friends Of Appropriate Ages	friends-of-appropriate-ages	weekly-contest-82	Q2	Medium	49.9%	Array,Two Pointers,Binary Search,Sorting
1696.9920075471	1487	Making File Names Unique	making-file-names-unique	weekly-contest-194	Q2	Medium	38.7%	Array,Hash Table,String
1696.9464414997	3143	Maximum Points Inside the Square	maximum-points-inside-the-square	biweekly-contest-130	Q2	Medium	39.7%	Array,Hash Table,String,Binary Search,Sorting
1696.8895579594	2588	Count the Number of Beautiful Subarrays	count-the-number-of-beautiful-subarrays	weekly-contest-336	Q3	Medium	54.2%	Array,Hash Table,Bit Manipulation,Prefix Sum
1695.3076664977	792	Number of Matching Subsequences	number-of-matching-subsequences	weekly-contest-74	Q2	Medium	50.6%	Array,Hash Table,String,Binary Search,Dynamic Programming,Trie,Sorting
1695.2832486322	1942	The Number of the Smallest Unoccupied Chair	the-number-of-the-smallest-unoccupied-chair	biweekly-contest-57	Q2	Medium	60.3%	Array,Hash Table,Heap (Priority Queue)
1695.0815222626	2420	Find All Good Indices	find-all-good-indices	weekly-contest-312	Q3	Medium	41.0%	Array,Dynamic Programming,Prefix Sum
1694.7320914942	3296	Minimum Number of Seconds to Make Mountain Height Zero	minimum-number-of-seconds-to-make-mountain-height-zero	weekly-contest-416	Q2	Medium	58.3%	Array,Math,Binary Search,Greedy,Heap (Priority Queue)
1694.4339515030	829	Consecutive Numbers Sum	consecutive-numbers-sum	weekly-contest-83	Q3	Hard	42.7%	Math,Enumeration
1694.4308657594	2466	Count Ways To Build Good Strings	count-ways-to-build-good-strings	biweekly-contest-91	Q2	Medium	58.9%	Dynamic Programming
1693.4495728383	2337	Move Pieces to Obtain a String	move-pieces-to-obtain-a-string	weekly-contest-301	Q3	Medium	56.6%	Two Pointers,String
1692.5884631801	1462	Course Schedule IV	course-schedule-iv	biweekly-contest-27	Q3	Medium	59.9%	Depth-First Search,Breadth-First Search,Graph Theory,Topological Sort
1692.2074174336	3290	Maximum Multiplication Score	maximum-multiplication-score	weekly-contest-415	Q2	Medium	41.4%	Array,Dynamic Programming
1690.9043557462	919	Complete Binary Tree Inserter	complete-binary-tree-inserter	weekly-contest-105	Q3	Medium	65.1%	Tree,Breadth-First Search,Design,Binary Tree
1690.1655236843	935	Knight Dialer	knight-dialer	weekly-contest-109	Q2	Medium	61.9%	Dynamic Programming
1689.7833547546	3071	Minimum Operations to Write the Letter Y on a Grid	minimum-operations-to-write-the-letter-y-on-a-grid	weekly-contest-387	Q3	Medium	64.6%	Array,Hash Table,Matrix,Counting
1689.7569144085	1419	Minimum Number of Frogs Croaking	minimum-number-of-frogs-croaking	weekly-contest-185	Q3	Medium	51.2%	String,Counting
1688.9209684568	1963	Minimum Number of Swaps to Make the String Balanced	minimum-number-of-swaps-to-make-the-string-balanced	weekly-contest-253	Q3	Medium	78.1%	Two Pointers,String,Stack,Greedy
1688.6445178061	3043	Find the Length of the Longest Common Prefix	find-the-length-of-the-longest-common-prefix	weekly-contest-385	Q2	Medium	62.2%	Array,Hash Table,String,Trie
1687.0611664517	3397	Maximum Number of Distinct Elements After Operations	maximum-number-of-distinct-elements-after-operations	weekly-contest-429	Q2	Medium	52.2%	Array,Greedy,Sorting
1686.4493679523	950	Reveal Cards In Increasing Order	reveal-cards-in-increasing-order	weekly-contest-113	Q3	Medium	83.6%	Array,Queue,Sorting,Simulation
1685.5389350949	2233	Maximum Product After K Increments	maximum-product-after-k-increments	weekly-contest-288	Q3	Medium	44.0%	Array,Greedy,Heap (Priority Queue)
1685.3599641299	2074	Reverse Nodes in Even Length Groups	reverse-nodes-in-even-length-groups	weekly-contest-267	Q2	Medium	64.1%	Linked List
1682.8882177724	1443	Minimum Time to Collect All Apples in a Tree	minimum-time-to-collect-all-apples-in-a-tree	weekly-contest-188	Q3	Medium	63.7%	Hash Table,Tree,Depth-First Search,Breadth-First Search
1682.1689207800	2497	Maximum Star Sum of a Graph	maximum-star-sum-of-a-graph	biweekly-contest-93	Q2	Medium	42.4%	Array,Greedy,Graph Theory,Sorting,Heap (Priority Queue)
1681.3263732456	767	Reorganize String	reorganize-string	weekly-contest-68	Q2	Medium	57.1%	Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting
1680.8669178490	2280	Minimum Lines to Represent a Line Chart	minimum-lines-to-represent-a-line-chart	weekly-contest-294	Q3	Medium	27.0%	Array,Math,Geometry,Sorting,Number Theory
1680.8242599300	1865	Finding Pairs With a Certain Sum	finding-pairs-with-a-certain-sum	weekly-contest-241	Q3	Medium	61.6%	Array,Hash Table,Design
