Rating	ID	Title	Tags
2500.1329352544	3409	Longest Subsequence With Decreasing Adjacent Difference	NONE
2502.2554584475	3490	Count Beautiful Numbers	DIGIT_OPS,MOD_ARITH
2502.5176603922	1938	Maximum Genetic Difference Query	XOR
2507.1382215756	3534	Path Existence Queries in a Graph II	NONE
2507.9960044659	2846	Minimum Edge Weight Equilibrium Queries in a Tree	GCD_LCM
2508.6766880695	3266	Final Array State After K Multiplication Operations II	MATRIX_EXP,MOD_ARITH
2509.3686325754	3303	Find the Occurrence of First Almost Equal Substring	NONE
2513.0284514744	3161	Block Placement Queries	NONE
2515.7520586008	2272	Substring With Largest Variance	TRICK
2517.6829964848	2040	Kth Smallest Product of Two Sorted Arrays	NONE
2519.499932424	3757	Number of Effective Subsequences	MOD_ARITH
2521.5876597895	3241	Time Taken to Mark All Nodes	NONE
2525.0244230374	3661	Maximum Walls Destroyed by Robots	NONE
2529.5251086936	1632	Rank Transform of a Matrix	NONE
2530.6462600383	3459	Length of Longest V-Shaped Diagonal Segment	NONE
2530.6905139914	1776	Car Fleet II	NONE
2531.6452775023	1896	Minimum Cost to Change the Final Value of Expression	NONE
2532.0192714689	3378	Count Connected Components in LCM Graph	GCD_LCM,PRIME
2532.6258688719	3312	Sorted GCD Pair Queries	GCD_LCM,DIVISORS
2533.2830157959	2736	Maximum Sum Queries	NONE
2533.3027905062	1675	Minimize Deviation in Array	NONE
2533.7796160302	1948	Delete Duplicate Folders in System	NONE
2537.7965575726	1595	Minimum Cost to Connect Two Groups of Points	BITMASK,MOD_ARITH
2538.8958579924	3505	Minimum Operations to Make Elements Within K Subarrays Equal	NONE
2539.863726397	1819	Number of Different Subsequences GCDs	GCD_LCM,PRIME
2540.438150736	3013	Divide an Array Into Subarrays With Minimum Cost II	NONE
2540.7699757179	3197	Find the Minimum Area to Cover All Ones II	GEOM
2544.8104481675	3901	Good Subsequence Queries	NONE
2544.999309348	3544	Subtree Inversion Sum	NONE
2545.1080433595	3267	Count Almost Equal Pairs II	NONE
2545.108406046	3287	Find the Maximum Sequence Value of Array	BITMASK
2552.505777081	3098	Find the Sum of Subsequence Powers	NONE
2553.2367142614	3257	Maximum Value Sum by Placing Three Rooks II	NONE
2556.5072256577	3077	Maximum Strength of K Disjoint Subarrays	NONE
2556.9955924939	3234	Count the Number of Substrings With Dominant Ones	NONE
2558.3297484354	2014	Longest Subsequence Repeated k Times	PERM_COMB
2559.4351004238	1815	Maximum Number of Groups Getting Fresh Donuts	BITMASK,MOD_ARITH
2561.508149216	2234	Maximum Total Beauty of the Gardens	NONE
2561.7794931859	2030	Smallest K-Length Subsequence With Occurrences of a Letter	NONE
2566.5910742837	913	Cat and Mouse	GAME_THEORY
2569.4068901457	3500	Minimum Cost to Divide Array Into Subarrays	NONE
2571.552028121	1489	Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree	NONE
2575.9570281316	1531	String Compression II	NONE
2581.9961985753	2617	Minimum Number of Visited Cells in a Grid	NONE
2582.0814855506	2813	Maximum Elegance of a K-Length Subsequence	TRICK,CONTRIBUTION
2583.406911951	936	Stamping The Sequence	TRICK
2583.9006314254	2019	The Score of Students Solving Math Expression	MOD_ARITH,BITMASK
2584.8334198718	3563	Lexicographically Smallest String After Adjacent Removals	NONE
2587.8725248485	1883	Minimum Skips to Arrive at Meeting On Time	NONE
2588.8752130913	2532	Time to Cross a Bridge	NONE
2594.135673452	964	Least Operators to Express Number	TRICK,MOD_ARITH
2598.4563109814	3321	Find X-Sum of All K-Long Subarrays II	NONE
2601.7404336762	3367	Maximize Sum of Weights after Edge Removals	NONE
2604.0450098035	3594	Minimum Time to Transport All Individuals	BITMASK
2605.3698165497	3474	Lexicographically Smallest Generated String	NONE
2607.9418744903	2911	Minimum Changes to Make K Semi-palindromes	PALINDROME,MOD_ARITH
2608.014730401	3510	Minimum Pair Removal to Sort Array II	NONE
2610.0826855063	1687	Delivering Boxes from Storage to Ports	NONE
2610.9906730644	2056	Number of Valid Move Combinations On Chessboard	BITMASK
2614.911779573	3343	Count Number of Balanced Permutations	PERM_COMB,PRIME,MOD_ARITH
2615.1468269481	2338	Count the Number of Ideal Arrays	PERM_COMB,DIVISORS,MOD_ARITH
2619.7016189999	2790	Maximum Number of Groups With Increasing Length	NONE
